Join Date,Name,Completed
"May 19, 2023, 12:46:55 AM",May 10k,false
"Jun 1, 2023, 1:54:15 PM",June 10k,true
"Jun 1, 2023, 1:55:32 PM",Desafio Crava - 120 minutos em 30 dias,true
"Jun 3, 2023, 6:38:58 PM",June 5K x Brooks,true
"Jun 3, 2023, 6:39:07 PM",June Sweat With Pride Challenge,true
"Jun 3, 2023, 6:40:01 PM",June Running Challenge,false
"Jun 24, 2023, 10:55:53 AM",Move with On Brazil,false
"Jun 30, 2023, 12:23:06 PM",July 5K x Brooks,true
"Jun 30, 2023, 12:23:08 PM",July Running Challenge,false
"Jun 30, 2023, 12:23:17 PM",July 10k,true
"Aug 1, 2023, 1:52:24 PM",August 5K x Brooks,true
"Aug 1, 2023, 1:52:30 PM",August Running Challenge,false
"Aug 1, 2023, 1:52:32 PM",August 10k,true
"Sep 10, 2023, 1:01:23 PM",September 5K x Brooks,true
"Sep 10, 2023, 1:01:27 PM",September 10K,true
"Sep 10, 2023, 1:01:30 PM",September Running Challenge,false
"Sep 10, 2023, 1:01:39 PM",September Workout Challenge,true
"Sep 11, 2023, 5:21:37 PM",E-Tech Medals,false
"Oct 31, 2023, 11:35:45 PM",Go the Extra Miles,true
"Nov 20, 2023, 3:21:33 PM",November 5K x Brooks,true
"Nov 20, 2023, 3:21:40 PM",November 10K,true
"Nov 20, 2023, 3:21:43 PM",November Running Challenge,false
"Nov 20, 2023, 3:22:08 PM",November Workout Challenge,true
"Dec 22, 2023, 11:12:10 PM","Brutalidade de Ano Novo, por Brou Bruto",false
"Dec 22, 2023, 11:12:28 PM",December 5K x Brooks,true
"Dec 22, 2023, 11:12:34 PM",December 10K,true
"Dec 22, 2023, 11:12:40 PM",December Running Challenge,false
"Dec 22, 2023, 11:12:47 PM",December Workout Challenge,true
"Dec 22, 2023, 11:13:02 PM",January Streak Challenge,true
"Dec 22, 2023, 11:13:04 PM",January 5K x Brooks Challenge,true
"Dec 22, 2023, 11:13:07 PM",January 10K Challenge,true
"Dec 22, 2023, 11:13:13 PM",January Run 100K Challenge,false
"Dec 22, 2023, 11:13:17 PM",January 400-Minute Challenge,true
"Dec 22, 2023, 11:13:21 PM",January Fresh Start Challenge,false
"Jan 2, 2024, 9:44:41 PM",January Half Marathon Challenge,false
"Feb 1, 2024, 10:37:57 PM",February 5K x Brooks Challenge,true
"Feb 1, 2024, 10:39:05 PM",February 400-Minute Challenge,true
"Feb 1, 2024, 10:39:14 PM",February Half Marathon Challenge,false
"Feb 1, 2024, 10:39:16 PM",February Run 100K Challenge,false
"Feb 1, 2024, 10:39:18 PM",February 10K Challenge,true
"Feb 1, 2024, 10:39:20 PM",February Streak Challenge,true
"Feb 1, 2024, 10:40:45 PM",February Walk 30K Challenge,false
"Feb 27, 2024, 10:26:40 PM",March 5K x Brooks Challenge,true
"Feb 27, 2024, 10:26:50 PM",PUMA Forever. Faster. 25k Challenge,true
"Feb 27, 2024, 10:27:18 PM",March 10K Challenge,true
"Feb 27, 2024, 10:27:21 PM",March Run 100K Challenge,false
