Promotion Seen,Timestamp
FeedFollowOptionCoachmark,1671407306
GapActivityDetailUpsell,1682961682
GapActivityDetailFeatureEd,1684358941
GapActivityDetailFeatureEd,1684494915
GapActivityDetailFeatureEd,1684605437
NsfDismissed,1684457180
EvergreenStatsShareFeatureEd,1688562594
NavigationTabHome,1671406424
NavigationTabYou,1677099803
NavigationTabYouProgress,1671406493
NavigationTabYouActivities,1671406495
NavigationTabYouProfile,1671406498
NavigationTabMapsSegments,1671406449
NavigationTabMapsRoutes,1671406442
NavigationTabMapsSaved,1671406453
NavigationTabGroupsChallenges,1671406488
NavigationTabGroupsClubs,1683341300
ActivityDetailsLeaderboardQualityCoachmark,1685627380
ActivityDetailsLeaderboardQualityCoachmark,1685627834
RecordScreenBeaconCoachmark,1685055872
MapSettingsPersonalHeatmapCoachmark,1657505539
MapSettingsButtonPersonalHeatmapFeatureEd,1685627628
MapVisibilityFeedCoachmarkImpression,1675116577
MapVisibilityFeedCoachmarkOrModalDismissed,1675116586
MapVisibilityRowReinforcementImpression,1675232391
MapVisibilityRowReinforcementImpression,1675408860
MapVisibilityRowReinforcementImpression,1675408861
MapVisibilityRowReinforcementImpression,1676648933
MapVisibilityRowReinforcementImpression,1676648934
MapVisibilityRowReinforcementImpression,1677076394
MapVisibilityActivityCoachmarkImpression,1679091947
MapVisibilityActivityCoachmarkDismissed,1679091964
WelcomeBackKudosCoachmarkImpression,1671407306
WelcomeBackKudosCoachmarkImpression,1671407307
WelcomeBackKudosCoachmarkImpression,1691436360
WelcomeBackKudosCoachmarkImpression,1691454171
WelcomeBackKudosCoachmarkImpression,1691454190
WelcomeBackKudosCoachmarkImpression,1691530425
WelcomeBackKudosCoachmarkImpression,1691673648
WelcomeBackKudosCoachmarkImpression,1691674140
WelcomeBackKudosCoachmarkImpression,1691675611
WelcomeBackKudosCoachmarkImpression,1691782153
WelcomeBackKudosCoachmarkImpression,1692014884
WelcomeBackKudosCoachmarkImpression,1692018029
WelcomeBackKudosCoachmarkImpression,1692019462
WelcomeBackKudosCoachmarkImpression,1698078609
WelcomeBackKudosCoachmarkImpression,1698078771
WelcomeBackKudosCoachmarkImpression,1698944859
WelcomeBackKudosCoachmarkImpression,1698951533
WelcomeBackKudosCoachmarkImpression,1699010469
WelcomeBackKudosCoachmarkImpression,1699053103
WelcomeBackKudosCoachmarkImpression,1699108058
WelcomeBackKudosCoachmarkImpression,1699119513
WelcomeBackKudosCoachmarkImpression,1699182255
WelcomeBackKudosCoachmarkImpression,1707850439
WelcomeBackKudosCoachmarkImpression,1707932838
WelcomeBackKudosCoachmarkImpression,1707957015
WelcomeBackKudosCoachmarkImpression,1707957750
WelcomeBackKudosCoachmarkImpression,1710126432
WelcomeBackKudosCoachmarkImpression,1710129753
WelcomeBackKudosCoachmarkImpression,1710155898
WelcomeBackKudosCoachmarkImpression,1726739391
WelcomeBackKudosCoachmarkImpression,1726740142
WelcomeBackKudosCoachmarkImpression,1726786165
RouteFromActivityMoreOptionsButtonCoachmark,1677099771
RouteFromActivitySaveButtonCoachmark,1682961745
MapVisibilitySettingCogCoachmark,1675130888
MapVisibilityNewLabelCoachmark,1675130890
MapVisibilitySettingRowCoachmark,1675130892
Map3dEducationVisibility,1657505539
RouteLongPressCoachmark,1657505543
WinbackNotificationSeen,1672964958
WinbackNotificationSeen,1692988759
WinbackNotificationSeen,1697892523
WinbackNotificationSeen,1698584503
WinbackNotificationSeen,1710105588
WinbackNotificationSeen,1726622800
MentionsSettingCogCoachmark,1657505433
MentionsNewLabelCoachmark,1671406935
MentionsSettingRowCoachmark,1671406935
DirtSportsSportPicker,1657505545
DirtSportsSportPicker,1671406323
