Reaction Date,Reaction Type,Parent Type,Parent ID
"May 19, 2023, 11:23:39 PM",Kudos,Activity,9094051108
"May 19, 2023, 11:23:41 PM",Kudos,Activity,9094045311
"May 19, 2023, 11:24:05 PM",Kudos,Activity,9082039214
"May 19, 2023, 11:24:07 PM",Kudos,Activity,9093864605
"May 23, 2023, 1:07:18 PM",Kudos,Activity,9116834083
"May 25, 2023, 11:04:14 PM",Kudos,Activity,9139052564
"May 25, 2023, 11:04:18 PM",Kudos,Activity,9137794904
"May 26, 2023, 11:23:15 PM",Kudos,Activity,7971776264
"Jun 1, 2023, 1:54:12 PM",Kudos,Activity,9179277908
"Jun 4, 2023, 6:16:18 PM",Kudos,Activity,9197018007
"Jun 5, 2023, 1:31:15 AM",Kudos,Activity,9194842283
"Jun 5, 2023, 10:59:45 PM",Kudos,Activity,9209084880
"Jun 10, 2023, 11:59:20 AM",Kudos,Activity,9229970626
"Jun 15, 2023, 11:07:27 AM",Kudos,Activity,9226910147
"Jun 21, 2023, 12:54:54 AM",Kudos,Activity,9301227771
"Jun 26, 2023, 10:24:52 AM",Kudos,Activity,9333045068
"Jun 29, 2023, 3:56:48 PM",Kudos,Activity,9357034779
"Jul 1, 2023, 5:32:01 PM",Kudos,Activity,9369164531
"Jul 2, 2023, 1:41:58 PM",Kudos,Activity,9373754845
"Jul 3, 2023, 3:38:23 PM",Kudos,Activity,9380203672
"Jul 3, 2023, 3:39:04 PM",Kudos,Activity,9377981033
"Jul 3, 2023, 11:07:57 PM",Kudos,Activity,9383378139
"Jul 4, 2023, 4:06:14 PM",Kudos,Activity,9386903268
"Jul 6, 2023, 11:18:20 AM",Kudos,Activity,9395661016
"Jul 6, 2023, 4:46:27 PM",Kudos,Activity,9399905342
"Jul 6, 2023, 4:46:28 PM",Kudos,Activity,9399836554
"Jul 11, 2023, 9:46:32 PM",Kudos,Activity,9431785714
"Jul 11, 2023, 9:46:33 PM",Kudos,Activity,9431038505
"Jul 22, 2023, 3:11:23 PM",Kudos,Activity,9499986631
"Jul 23, 2023, 1:26:46 PM",Kudos,Activity,9505342119
"Jul 29, 2023, 3:40:32 AM",Kudos,Activity,9534720914
"Jul 29, 2023, 8:17:05 PM",Kudos,Activity,9543662936
"Jul 31, 2023, 2:12:46 AM",Kudos,Activity,9553205354
"Jul 31, 2023, 6:22:53 PM",Kudos,Activity,9555569333
"Aug 2, 2023, 12:59:23 AM",Kudos,Activity,9564956982
"Aug 7, 2023, 7:26:05 PM",Kudos,Activity,9600471811
"Aug 10, 2023, 1:29:32 PM",Kudos,Activity,9609668278
"Aug 15, 2023, 11:46:08 AM",Kudos,Activity,9649208760
"Aug 19, 2023, 12:40:38 PM",Kudos,Activity,9678306541
"Aug 20, 2023, 11:38:20 AM",Kudos,Activity,9680961122
"Aug 25, 2023, 6:44:29 PM",Kudos,Activity,9719714561
"Aug 27, 2023, 4:20:01 PM",Kudos,Activity,9727668425
"Aug 27, 2023, 4:20:07 PM",Kudos,Activity,9730342253
"Sep 3, 2023, 3:50:23 PM",Kudos,Activity,9772178155
"Sep 11, 2023, 10:27:32 PM",Kudos,Activity,9830820014
"Sep 15, 2023, 11:59:55 AM",Kudos,Activity,9853337920
"Sep 22, 2023, 3:38:04 PM",Kudos,Activity,9895119148
"Sep 22, 2023, 3:38:17 PM",Kudos,Activity,9896029525
"Sep 23, 2023, 2:46:53 PM",Kudos,Activity,9904602054
"Oct 8, 2023, 11:48:33 PM",Kudos,Activity,10003156268
"Oct 8, 2023, 11:49:01 PM",Kudos,Activity,9996940379
"Oct 9, 2023, 7:12:22 PM",Kudos,Activity,10006959844
"Oct 12, 2023, 5:01:02 PM",Kudos,Activity,10022066661
"Oct 18, 2023, 11:26:09 AM",Kudos,Activity,10060415364
"Oct 18, 2023, 11:26:34 AM",Kudos,Activity,10052528215
"Oct 18, 2023, 11:26:39 AM",Kudos,Activity,10058325573
"Oct 18, 2023, 11:26:44 AM",Kudos,Activity,10054887850
"Oct 20, 2023, 2:25:05 PM",Kudos,Activity,10072375457
"Oct 29, 2023, 1:04:18 PM",Kudos,Activity,10125039588
"Nov 2, 2023, 5:07:41 PM",Kudos,Activity,10148676800
"Nov 4, 2023, 9:52:11 PM",Kudos,Activity,10160411164
"Nov 7, 2023, 12:38:40 PM",Kudos,Activity,10175798928
"Nov 8, 2023, 1:28:09 AM",Kudos,Activity,10180061084
"Nov 15, 2023, 9:38:56 PM",Kudos,Activity,10222332153
"Nov 20, 2023, 12:48:37 AM",Kudos,Activity,10248809019
"Nov 20, 2023, 3:20:43 PM",Kudos,Activity,10250920695
"Nov 20, 2023, 3:20:55 PM",Kudos,Activity,10251415793
