Segment Name,Activity ID,Starting Latitude,Starting Longitude,Ending Latitude,Ending Longitude
Viamão Crossfit 800m,,-30.079989,-51.051109,-30.079983,-51.051151
Viamão Crossfit 600m,,-30.079998,-51.051142,-30.079978,-51.051136
Viamão Crossfit 400m,,-30.079993,-51.051151,-30.079965,-51.051177
Viamão Crossfit 1 mile,,-30.08001,-51.051156,-30.080114,-51.051318
Viamão Crossfit 1 mile,,-30.080039,-51.051216,-30.080056,-51.051235
Viamão Crossfit 1 mile,,-30.079987,-51.051163,-30.07996,-51.051194
Viamão Crossfit 400m,,-30.079983,-51.051189,-30.080004,-51.051227
Viamão Crossfit 600m,,-30.07997,-51.051169,-30.079963,-51.051156
Viamão Crossfit 800m,,-30.080009,-51.051083,-30.08004,-51.051069
Viamão Crossfit 1 mile,,-30.080039,-51.051216,-30.080028,-51.051183
Viamão Crossfit 1 mile,,-30.080308,-51.051537,-30.080281,-51.051505
